company name,gvkey,NAICS,SIC,ticker,industry sector,weburl,ff5 sector
HERSHEY CO,5597,311351,2060,HSY,Food,thehersheycompany.com,1
HERTZ GLOBAL HOLDINGS INC,5600,532111,7510,HTZ,BusSv,hertz.com,5
HP INC,5606,33411,3570,HPQ,Comps,hp.com,3
HEXCEL CORP,5608,325211,2821,HXL,Chems,hexcel.com,2
HILL-ROM HOLDINGS INC,5639,339113,2590,HRC,Hshld,hill-rom.com,1
HILTON WORLDWIDE HOLDINGS,5643,721110,7011,HLT,Meals,hilton.com,5
HOLLYFRONTIER CORP,5667,324110,2911,HFC,Oil,hollyfrontier.com,2
PINNACLE ENTERTAINMENT INC,5671,713210,7990,PNK,Fun,pnkinc.com,5
HOME DEPOT INC,5680,444110,5211,HD,Rtail,homedepot.com,1
HNI CORP,5690,337214,2522,HNI,Paper,hnicorp.com,2
HOOPER HOLMES INC,5697,621999,8090,HPHW,Hlth,provanthealth.com,4
HORMEL FOODS CORP,5709,311611,2011,HRL,Food,hormelfoods.com,1
CENTERPOINT ENERGY INC,5742,22111,4931,CNP,Util,centerpointenergy.com,2
HOVNANIAN ENTRPRS INC  -CL A,5750,236117,1531,HOV,Cnstr,khov.com,5
URSTADT BIDDLE PROPERTIES,5763,531120,6798,UBA,Fin,ubproperties.com,5
